,COV_DOSE,COV_DOSE_2,COV_KNOWL_1,COV_KNOWL_2,COV_KNOWL_3,COV_KNOWL_4,COV_KNOWL_5,COV_KNOWL_6,COV_KNOWL_7,VAC_PASS_INT,ANX_1,ANX_2,ANX_3,ANX_4,ANX_5,ANX_6,DEMAGE,DREAD,VAC_DEC,intention,VAC_PASS_1,VAC_PASS_2,VAC_PASS_3,VAC_PASS_4,VAC_PASS_5,VAC_PASS_6,VAC_PASS_7,VAC_PASS_UK,intenttarget_1,intenttarget_2,uptaketarget,MIST_1_Fake,MIST_1_Real,MIST_2_Fake,MIST_2_Real,MIST_3_Fake,MIST_3_Real,MIST_4_Fake,MIST_4_Real,MIST_5_Fake,MIST_5_Real,MIST_6_Fake,MIST_6_Real,MIST_7_Fake,MIST_7_Real,MIST_8_Fake,MIST_8_Real,MIST_9_Fake,MIST_9_Real,MIST_10_Fake,MIST_10_Real,MIST_11_Fake,MIST_11_Real,MIST_12_Fake,MIST_12_Real,MIST_13_Fake,MIST_13_Real,MIST_14_Fake,MIST_14_Real,MIST_15_Fake,MIST_15_Real,MIST_16_Fake,MIST_16_Real,MIST_17_Fake,MIST_17_Real,MIST_18_Fake,MIST_18_Real,MIST_19_Fake,MIST_19_Real,MIST_20_Fake,MIST_20_Real,DEMREG_East Midlands,DEMREG_East of England,DEMREG_Greater London,DEMREG_North East,DEMREG_North West,DEMREG_Northern Ireland,DEMREG_Scotland,DEMREG_South East,DEMREG_South West,DEMREG_Wales,DEMREG_West Midlands,DEMREG_Yorkshire and The Humber,DEMSEX_Female,DEMSEX_Male,"DEMEDU_0-4 GCSE, O-levels, or equivalents",DEMEDU_2+ A levels or equivalents,"DEMEDU_5+ GCSE, O-levels, 1 A level, or equivalents",DEMEDU_Apprenticeship,DEMEDU_No academic qualifications,DEMEDU_Other,DEMEDU_Undergraduate or postgraduate degree,DEMWRK_Looking after the home,DEMWRK_Retired,DEMWRK_Student,DEMWRK_Unable to work,DEMWRK_Unemployed,DEMWRK_Working full-time,DEMWRK_Working part-time,DEMREL_Atheist or agnostic,DEMREL_Christian,DEMREL_Muslim,DEMREL_Other,"DEMINC_Over £100,000","DEMINC_Under £15,000","DEMINC_£15,000 to £24,999","DEMINC_£25,000 to £34,999","DEMINC_£35,000 to £44,999","DEMINC_£45,000 to £54,999","DEMINC_£55,000 to £64,999","DEMINC_£65,000 to £99,999",COV_INV_No,COV_INV_Yes,DEMNHS_No,DEMNHS_Yes,COV_SHIELD_No,COV_SHIELD_Yes,Q71_Conservative,Q71_Green Party,Q71_Labour,Q71_Liberal Democrat,Q71_Local independent,Q71_Other/Not eligible,Q71_Reform Party ,Q71_SNP,COV_TRUST_1_0,COV_TRUST_1_National television,COV_TRUST_2_0,COV_TRUST_2_Satellite / international television channels,COV_TRUST_3_0,COV_TRUST_3_Radio,COV_TRUST_4_0,COV_TRUST_4_Newspapers,COV_TRUST_5_0,"COV_TRUST_5_Social media (Facebook, Twitter, etc)",COV_TRUST_6_0,COV_TRUST_6_National public health authorities (such as the NHS or Public Health England / Wales),COV_TRUST_7_0,COV_TRUST_7_Healthcare workers,COV_TRUST_8_0,COV_TRUST_8_International health authorities (such as The World Health Organization),COV_TRUST_9_0,COV_TRUST_9_Government websites,COV_TRUST_10_0,COV_TRUST_10_The internet or search engines,COV_TRUST_11_0,COV_TRUST_11_Family and friends,COV_TRUST_12_0,"COV_TRUST_12_Work, school, or college",COV_TRUST_13_0,COV_TRUST_13_Other (please specify)
2038,3,,4,1,1,2,1,3,2,3.0,2,3,3,2,2,3,26,3,1,1.0,4,1,5,4,5,3,4,3,1.0,1.0,0.0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
2057,,,4,4,4,4,4,4,1,5.0,1,1,1,1,1,3,60,3,0,2.0,5,1,5,5,5,5,5,3,,1.0,,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2072,3,,4,4,4,4,4,1,1,5.0,3,1,2,3,2,2,50,1,0,1.0,1,1,5,5,5,5,5,5,1.0,1.0,0.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
2077,,,4,3,4,4,4,3,4,4.0,1,3,3,3,2,3,33,4,0,3.0,5,5,1,1,1,4,5,3,,0.0,,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2081,,,4,4,4,4,4,4,1,5.0,2,3,3,1,1,3,43,3,0,1.0,1,2,5,5,5,5,5,5,1.0,1.0,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
2082,3,,4,4,4,4,4,3,1,4.0,3,2,1,2,2,2,41,2,1,1.0,2,3,4,4,2,4,3,4,1.0,1.0,0.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0
2084,,,4,4,2,2,3,3,2,3.0,2,2,2,2,3,3,31,3,1,2.0,3,2,3,4,4,4,2,3,,1.0,,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2095,,,4,4,4,4,4,2,1,3.0,1,3,3,1,1,3,20,2,0,4.0,5,5,1,1,1,1,5,3,0.0,0.0,,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0
2101,,,4,4,4,4,4,2,1,4.0,2,2,1,2,3,2,47,2,0,2.0,5,5,1,5,5,1,5,1,,1.0,,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2108,,,4,4,4,4,3,3,1,3.0,3,1,1,3,3,1,41,2,1,2.0,3,3,4,2,3,3,3,3,,1.0,,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
2111,,,3,4,4,4,3,4,1,4.0,3,1,2,2,2,1,43,1,0,1.0,4,4,2,4,4,2,3,4,1.0,1.0,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
2115,,,4,4,4,4,3,3,1,4.0,2,2,2,2,2,2,35,3,1,1.0,2,1,4,4,4,4,4,4,1.0,1.0,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
2116,,,3,4,4,3,4,4,4,3.0,3,3,3,3,3,3,29,4,1,1.0,5,5,5,5,5,5,4,4,1.0,1.0,,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
2123,,,3,3,3,3,3,3,3,3.0,2,2,2,2,2,2,37,3,0,1.0,3,4,3,3,3,2,3,3,1.0,1.0,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
2124,,,4,4,4,4,4,1,4,4.0,2,2,1,2,2,2,28,2,0,1.0,3,4,4,3,3,4,3,4,1.0,1.0,,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
2133,,,4,4,4,4,4,2,1,5.0,3,2,1,3,3,2,43,4,0,1.0,1,1,5,5,5,5,5,5,1.0,1.0,,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
2153,,,3,3,4,4,3,3,1,5.0,2,2,2,2,2,2,39,3,0,1.0,2,2,5,4,4,5,5,5,1.0,1.0,,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
2157,,,4,4,4,4,3,3,1,4.0,1,3,3,1,1,3,23,4,0,2.0,3,2,5,3,2,4,4,4,,1.0,,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
2173,,,4,4,1,1,3,3,1,5.0,2,1,3,2,2,2,32,3,1,1.0,4,3,3,5,5,5,5,5,1.0,1.0,,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0
2174,,,4,4,4,4,4,3,1,3.0,2,2,2,2,2,3,50,3,0,2.0,4,3,3,3,3,3,4,3,,1.0,,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
2198,3,,3,2,2,3,3,3,3,3.0,3,1,1,3,3,1,53,1,1,4.0,5,5,1,1,1,1,5,3,0.0,0.0,0.0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
2199,,,3,4,3,3,3,4,3,4.0,3,3,2,3,3,2,21,3,1,2.0,5,5,5,5,5,5,5,4,,1.0,,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
2201,,,3,2,3,2,3,3,3,3.0,2,2,3,3,3,3,22,2,1,1.0,3,3,3,2,4,4,2,3,1.0,1.0,,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
2203,,,4,4,4,4,3,4,1,5.0,3,1,1,3,3,1,36,1,1,1.0,2,4,5,5,5,4,5,4,1.0,1.0,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0
2205,3,,4,4,4,4,3,3,1,3.0,2,2,1,3,1,2,51,2,1,1.0,5,3,1,1,1,2,3,3,1.0,1.0,0.0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
2214,,,3,3,3,3,2,3,2,3.0,1,3,3,1,1,3,54,2,0,2.0,4,4,3,4,4,3,3,3,,1.0,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
2221,,,3,4,4,4,4,4,2,4.0,1,2,2,1,2,3,24,2,0,1.0,4,2,1,3,3,4,3,3,1.0,1.0,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
2222,,,4,4,4,4,3,1,1,4.0,2,2,2,2,2,2,41,2,1,2.0,4,5,1,1,1,1,5,3,,1.0,,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0
2233,,,3,4,4,4,2,3,1,4.0,2,1,2,2,2,1,32,1,0,3.0,3,5,1,2,4,3,4,3,,0.0,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0
2234,,,4,4,4,4,3,4,1,4.0,3,2,2,3,3,1,35,2,1,1.0,2,5,4,4,4,4,5,5,1.0,1.0,,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0
2236,,,4,4,4,4,3,2,1,5.0,2,3,2,2,2,3,34,3,0,1.0,2,1,4,4,4,5,4,5,1.0,1.0,,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
2241,,,2,3,1,3,2,1,1,5.0,3,1,1,3,1,1,27,1,1,1.0,5,4,1,4,4,4,5,1,1.0,1.0,,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0
2252,,,4,4,4,4,3,4,1,3.0,3,2,2,3,3,2,42,2,1,1.0,4,4,2,2,2,3,4,3,1.0,1.0,,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2257,,,4,4,4,4,4,4,1,5.0,2,2,3,2,1,2,18,2,0,2.0,2,4,1,5,1,5,4,4,,1.0,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
2260,,,4,4,4,4,2,3,1,5.0,1,3,2,2,1,2,30,2,1,1.0,4,1,5,5,5,4,5,4,1.0,1.0,,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
2268,,,4,4,4,4,4,3,1,3.0,3,1,1,3,3,2,37,2,0,1.0,4,3,3,2,2,3,3,3,1.0,1.0,,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
2271,,,4,4,4,4,4,4,4,5.0,1,3,3,1,1,3,19,4,0,1.0,1,1,5,5,5,5,5,5,1.0,1.0,,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
2274,,,4,4,4,4,4,3,1,5.0,2,2,2,2,2,2,41,2,1,3.0,5,5,1,1,1,1,5,4,,0.0,,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
2275,,,3,4,3,4,4,3,1,5.0,3,1,1,3,3,1,21,2,0,1.0,5,3,4,4,3,2,5,5,1.0,1.0,,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
